"","policy_id","exposure","driver_age","vehicle_age","gender","car_type","region","no_claim_discount","claim_count","avg_claim_sev","total_claim_cost"
"62",62,0.572813299833797,36,5.8,"F","SUV","Suburban","60%",0,0,0
"63",63,0.807708853390068,38,2.2,"M","Commercial","Rural","40%",0,0,0
"64",64,0.756295155500993,31,6.3,"F","SUV","Rural","40%",0,0,0
"65",65,0.822034967248328,30,10,"M","SUV","Metro","20%",0,0,0
"66",66,0.962108251056634,45,0.8,"F","SUV","Suburban","20%",0,0,0
"67",67,0.64935827429872,47,9.1,"F","Sedan","Suburban","40%",0,0,0
"68",68,0.979589973343536,43,2.3,"M","Sedan","Metro","20%",2,4863.74070089658,9727.48140179317
"69",69,0.813204069971107,52,4.3,"F","SUV","Rural","40%",0,0,0
"70",70,0.610796331311576,65,0,"F","Commercial","Rural","60%",0,0,0
"71",71,0.65235615032725,37,1.8,"M","SUV","Metro","0%",0,0,0
"72",72,0.655378129216842,18,0.9,"F","Sedan","Suburban","20%",0,0,0
"73",73,0.969859714969061,53,3.3,"F","Luxury","Suburban","20%",0,0,0
"74",74,0.505101287271827,34,5.3,"F","Sedan","Metro","20%",0,0,0
"75",75,0.535057329223491,34,0.5,"M","Sedan","Suburban","40%",0,0,0
"76",76,0.610095029813237,53,6,"M","Commercial","Suburban","40%",0,0,0
"77",77,0.751640733797103,39,6.2,"M","Sedan","Rural","20%",0,0,0
"78",78,0.631326306727715,29,4.5,"F","Sedan","Metro","0%",0,0,0
"79",79,0.564613549388014,44,0.5,"M","Luxury","Suburban","60%",0,0,0
"80",80,0.896625279565342,40,3.9,"F","SUV","Suburban","60%",0,0,0
"81",81,0.655513247824274,42,3.8,"F","Commercial","Metro","40%",0,0,0
"82",82,0.859561848570593,46,1.9,"M","SUV","Suburban","60%",0,0,0
"83",83,0.866872682585381,38,5.3,"M","SUV","Metro","40%",0,0,0
"84",84,0.936872335383669,49,9.2,"F","Luxury","Rural","60%",0,0,0
"85",85,0.968875712598674,40,3.2,"F","SUV","Metro","60%",0,0,0
"86",86,0.504496186389588,46,0.5,"F","SUV","Metro","0%",0,0,0
"87",87,0.926641067140736,54,2.2,"M","Sedan","Suburban","20%",0,0,0
"88",88,0.706132475403138,47,6.6,"M","Sedan","Metro","40%",0,0,0
"89",89,0.845445787999779,38,1.1,"F","SUV","Rural","60%",0,0,0
"90",90,0.843100650585257,55,0.5,"F","Sedan","Metro","0%",0,0,0
"91",91,0.848371021565981,53,7.1,"F","SUV","Suburban","0%",0,0,0
"92",92,0.66474025871139,48,6,"F","SUV","Metro","40%",0,0,0
"93",93,0.781042852788232,45,4.2,"F","SUV","Rural","60%",0,0,0
"94",94,0.664157018065453,35,0.1,"M","Sedan","Rural","40%",0,0,0
"95",95,0.925041286740452,57,3.4,"M","Sedan","Metro","0%",0,0,0
"96",96,0.954043820267543,35,1.4,"M","SUV","Suburban","0%",0,0,0
"97",97,0.84667285240721,66,0.7,"F","Sedan","Metro","40%",0,0,0
"98",98,0.508227596059442,59,0.4,"F","Sedan","Rural","60%",0,0,0
"99",99,0.917967208428308,39,1.2,"F","Luxury","Metro","60%",0,0,0
"100",100,0.81409711681772,31,4.7,"M","Sedan","Suburban","20%",0,0,0
"101",101,0.580477675306611,34,10.2,"F","Sedan","Metro","20%",0,0,0
"102",102,0.507153769372962,45,1,"F","Commercial","Suburban","40%",0,0,0
"103",103,0.502105871564709,39,11.7,"M","Commercial","Suburban","60%",0,0,0
"104",104,0.608455441775732,38,0.3,"M","SUV","Metro","40%",0,0,0
"105",105,0.940486285835505,32,10.4,"F","Sedan","Metro","40%",0,0,0
"106",106,0.953012412413955,42,10.7,"F","SUV","Suburban","40%",0,0,0
"107",107,0.515937011456117,33,2.1,"M","SUV","Metro","60%",0,0,0
"108",108,0.674132742569782,24,1.9,"F","Sedan","Metro","20%",0,0,0
"109",109,0.72996886249166,38,11.1,"F","Sedan","Rural","0%",0,0,0
"110",110,0.573527343687601,52,1.7,"F","Sedan","Metro","60%",0,0,0
"111",111,0.831917394767515,36,3.9,"M","SUV","Metro","40%",0,0,0
"112",112,0.586798291653395,49,2.9,"F","SUV","Metro","20%",0,0,0
"113",113,0.93254730605986,24,1.4,"F","Sedan","Metro","60%",0,0,0
"114",114,0.643632435356267,41,4,"M","SUV","Suburban","40%",0,0,0
"115",115,0.828874262631871,48,11,"F","Sedan","Metro","0%",0,0,0
"116",116,0.884682848933153,45,8.1,"F","Sedan","Metro","0%",0,0,0
"117",117,0.650685431202874,43,8.8,"F","SUV","Rural","60%",0,0,0
"118",118,0.82414008048363,35,1.5,"F","SUV","Suburban","40%",0,0,0
"119",119,0.975423484109342,33,10.8,"M","SUV","Metro","60%",0,0,0
"120",120,0.556560851400718,31,0.7,"F","Sedan","Metro","40%",0,0,0
"121",121,0.553294100915082,43,2,"M","Commercial","Metro","60%",0,0,0
"122",122,0.523126800893806,32,4.8,"M","Commercial","Metro","20%",0,0,0
"123",123,0.746678813127801,37,3.7,"F","Sedan","Suburban","60%",0,0,0
"124",124,0.526115962653421,39,7.1,"M","Sedan","Suburban","60%",0,0,0
"125",125,0.724763087928295,62,0.4,"F","SUV","Rural","40%",0,0,0
"126",126,0.638375213369727,35,3.3,"M","SUV","Suburban","40%",0,0,0
"127",127,0.967632539337501,45,3,"M","Sedan","Metro","20%",0,0,0
"128",128,0.882399193593301,43,15.8,"M","Sedan","Metro","60%",1,10287.5936957248,10287.5936957248
"129",129,0.831471066689119,31,1.2,"F","Commercial","Suburban","20%",0,0,0
"130",130,0.738097592373379,41,0.2,"F","Sedan","Metro","0%",0,0,0
"131",131,0.503893909044564,58,1.5,"F","SUV","Metro","40%",0,0,0
"132",132,0.858814123901539,47,1.4,"M","Sedan","Metro","60%",0,0,0
"133",133,0.749164560926147,42,0.5,"F","Commercial","Metro","40%",0,0,0
"134",134,0.701504294876941,37,12.8,"F","Sedan","Rural","60%",0,0,0
"135",135,0.923087672679685,19,1.8,"M","Sedan","Metro","20%",0,0,0
"136",136,0.738061092677526,54,18.6,"M","SUV","Metro","40%",0,0,0
"137",137,0.976494698203169,26,7.8,"M","Sedan","Metro","20%",0,0,0
"138",138,0.911596990888938,50,1.6,"M","Luxury","Suburban","60%",0,0,0
"139",139,0.999750697170384,63,1.1,"M","Sedan","Suburban","20%",0,0,0
"140",140,0.886202811379917,26,8.6,"F","Sedan","Suburban","0%",0,0,0
"141",141,0.608401121222414,50,3.4,"F","Luxury","Metro","60%",0,0,0
"142",142,0.650892664561979,39,0.5,"F","SUV","Suburban","40%",0,0,0
"143",143,0.913179000257514,25,3.3,"F","SUV","Metro","40%",0,0,0
"144",144,0.547740359441377,25,1.4,"M","SUV","Metro","0%",0,0,0
"145",145,0.517230895231478,24,3.8,"F","Luxury","Metro","40%",0,0,0
"146",146,0.719544825726189,36,6.6,"F","SUV","Suburban","20%",0,0,0
"147",147,0.801594934426248,26,0.5,"F","SUV","Suburban","0%",0,0,0
"148",148,0.549925565253943,50,3.2,"F","Sedan","Suburban","40%",0,0,0
"149",149,0.936188186635263,65,5.6,"F","Sedan","Rural","40%",0,0,0
"150",150,0.904140522936359,28,8.3,"M","Sedan","Metro","60%",0,0,0
"151",151,0.654336721985601,51,7.2,"F","SUV","Metro","20%",0,0,0
"152",152,0.699070966802537,50,1.4,"M","Luxury","Suburban","40%",0,0,0
"153",153,0.707791828201152,46,4.2,"M","SUV","Metro","20%",0,0,0
"154",154,0.886005740845576,31,0.7,"F","Commercial","Metro","0%",0,0,0
"155",155,0.665817829431035,41,2,"F","Sedan","Suburban","40%",0,0,0
"156",156,0.943840952357277,39,7.7,"M","SUV","Metro","0%",0,0,0
"157",157,0.993420964572579,48,1.2,"F","Luxury","Metro","40%",0,0,0
"158",158,0.654733613017015,38,5.2,"F","Sedan","Metro","60%",0,0,0
"159",159,0.948271660250612,53,0.6,"F","Sedan","Suburban","40%",0,0,0
"160",160,0.937094457447529,38,5.3,"M","Sedan","Suburban","40%",0,0,0
"161",161,0.694514590664767,54,7.1,"M","Commercial","Rural","60%",0,0,0
"162",162,0.917794133652933,30,1,"M","Sedan","Suburban","0%",0,0,0
"163",163,0.967720781103708,28,1.2,"F","Commercial","Metro","60%",0,0,0
"164",164,0.636717555928044,78,0.9,"F","Sedan","Metro","60%",0,0,0
"165",165,0.507227163179778,37,6.2,"M","Luxury","Suburban","60%",0,0,0
"166",166,0.58394239610061,45,1.5,"F","Luxury","Rural","60%",0,0,0
"167",167,0.691995307919569,49,6.1,"M","SUV","Suburban","20%",1,2678.8861739842,2678.8861739842
"168",168,0.853307920857333,37,0.8,"F","SUV","Rural","60%",0,0,0
"169",169,0.923467727028765,48,2.9,"M","Sedan","Metro","0%",0,0,0
"170",170,0.613104067626409,46,5.1,"F","SUV","Suburban","20%",0,0,0
"171",171,0.701071433955804,40,4.7,"M","SUV","Metro","40%",0,0,0
"172",172,0.876774039235897,43,6.9,"M","SUV","Metro","0%",0,0,0
"173",173,0.806285908911377,42,6,"M","Sedan","Suburban","20%",0,0,0
"174",174,0.58005029160995,65,5.3,"F","Luxury","Suburban","60%",0,0,0
"175",175,0.821552940411493,34,2,"M","Sedan","Suburban","40%",0,0,0
"176",176,0.817633573198691,30,0.4,"M","SUV","Suburban","60%",0,0,0
"177",177,0.890688598970883,42,0.4,"M","Sedan","Metro","40%",0,0,0
"178",178,0.743398578022607,45,10.5,"F","SUV","Metro","60%",1,8864.90397747187,8864.90397747187
"179",179,0.565568678546697,47,4.6,"F","SUV","Metro","40%",0,0,0
"180",180,0.798677406739444,37,5.5,"F","Sedan","Metro","20%",0,0,0
"181",181,0.678209164063446,30,0.1,"M","Luxury","Metro","40%",0,0,0
"182",182,0.984608717611991,56,4.6,"M","SUV","Suburban","40%",0,0,0
"183",183,0.804504103609361,38,0.3,"F","SUV","Suburban","60%",0,0,0
"184",184,0.789992351434194,32,3.7,"F","SUV","Rural","60%",0,0,0
"185",185,0.553018565755337,39,5.9,"F","Commercial","Metro","20%",0,0,0
"186",186,0.921136997872964,40,1.4,"M","Sedan","Metro","20%",0,0,0
"187",187,0.632779703824781,54,0.2,"M","Sedan","Suburban","20%",0,0,0
"188",188,0.813666057074443,43,0.6,"M","SUV","Suburban","60%",0,0,0
"189",189,0.792109670466743,50,4.3,"F","Commercial","Metro","40%",0,0,0
"190",190,0.863201649626717,37,1.6,"F","Sedan","Suburban","60%",0,0,0
"191",191,0.894013767363504,44,3.6,"F","Luxury","Metro","20%",0,0,0
"192",192,0.540110129048117,38,5.2,"F","Sedan","Rural","20%",0,0,0
"193",193,0.942406516522169,43,5.8,"M","SUV","Rural","40%",0,0,0
"194",194,0.57246193557512,32,17.3,"M","Commercial","Rural","0%",1,8395.958698091,8395.958698091
"195",195,0.891738938051276,28,12.5,"M","SUV","Rural","0%",0,0,0
"196",196,0.878222986357287,64,0.9,"F","Commercial","Suburban","20%",0,0,0
"197",197,0.743279562680982,49,1.9,"F","SUV","Metro","20%",0,0,0
"198",198,0.643414224265143,28,6.3,"M","Sedan","Metro","40%",0,0,0
"199",199,0.584680504049174,35,1.7,"F","Sedan","Metro","20%",0,0,0
"200",200,0.615877534961328,29,9.5,"M","Sedan","Suburban","60%",1,3675.58076711227,3675.58076711227
"201",201,0.542222377262078,66,8.3,"F","Commercial","Suburban","20%",0,0,0
"202",202,0.625411637010984,56,4.9,"F","SUV","Metro","40%",0,0,0
"203",203,0.600957017275505,39,6.1,"F","SUV","Rural","20%",0,0,0
"204",204,0.954929894767702,48,3.9,"F","Commercial","Metro","20%",0,0,0
"205",205,0.968212427105755,37,2.7,"M","Sedan","Rural","60%",0,0,0
"206",206,0.885792983463034,37,5.7,"M","SUV","Metro","40%",0,0,0
"207",207,0.737140787066892,33,3.9,"F","Luxury","Rural","60%",0,0,0
"208",208,0.583375092130154,35,7.3,"F","Sedan","Rural","20%",0,0,0
"209",209,0.652109459857456,60,2.9,"F","SUV","Suburban","0%",0,0,0
"210",210,0.598192133824341,41,1.7,"F","SUV","Metro","60%",0,0,0
"211",211,0.829955523484387,43,0.8,"M","Sedan","Suburban","60%",0,0,0
"212",212,0.615496174665168,45,5.4,"F","SUV","Suburban","40%",0,0,0
"213",213,0.704113106243312,56,0.4,"F","Sedan","Suburban","20%",0,0,0
"214",214,0.797632937203161,36,6.6,"F","Sedan","Suburban","40%",0,0,0
"215",215,0.95272104779724,31,8.9,"F","Sedan","Metro","60%",0,0,0
"216",216,0.874773338320665,60,6,"M","Sedan","Metro","20%",0,0,0
"217",217,0.961665989598259,37,0.7,"F","SUV","Metro","60%",0,0,0
"218",218,0.619495997554623,34,1,"F","Sedan","Suburban","60%",0,0,0
"219",219,0.598873131675646,28,0.3,"M","SUV","Metro","20%",0,0,0
"220",220,0.832506155478768,28,8.6,"M","SUV","Rural","60%",0,0,0
"221",221,0.819501519668847,36,3.2,"M","Commercial","Suburban","20%",0,0,0
"222",222,0.803005066118203,49,11.1,"M","SUV","Metro","0%",0,0,0
"223",223,0.872381506604142,54,1.1,"F","Sedan","Suburban","0%",0,0,0
"224",224,0.937760898494162,50,1.5,"F","SUV","Metro","20%",0,0,0
"225",225,0.974818704533391,38,4.5,"F","SUV","Suburban","60%",0,0,0
"226",226,0.879021074739285,43,2,"F","SUV","Suburban","60%",0,0,0
"227",227,0.55353376083076,34,1,"F","Luxury","Suburban","60%",0,0,0
"228",228,0.760145145934075,34,3,"F","SUV","Suburban","40%",0,0,0
"229",229,0.75273228646256,52,11.1,"F","Luxury","Suburban","40%",0,0,0
"230",230,0.71932229353115,31,4.2,"F","SUV","Rural","60%",0,0,0
"231",231,0.962861039442942,64,1.7,"F","Sedan","Metro","40%",0,0,0
"232",232,0.73228405485861,41,2.2,"M","Sedan","Metro","60%",0,0,0
"233",233,0.954923690762371,44,2.5,"F","Sedan","Rural","40%",0,0,0
"234",234,0.689110966282897,34,2.8,"M","SUV","Metro","40%",0,0,0
"235",235,0.547640686039813,36,13.1,"F","SUV","Metro","40%",0,0,0
"236",236,0.699921902734786,28,2.3,"M","Sedan","Suburban","20%",0,0,0
"237",237,0.511445368523709,40,1.4,"F","SUV","Suburban","20%",0,0,0
"238",238,0.765698104631156,47,1.3,"M","SUV","Metro","60%",0,0,0
"239",239,0.945084073697217,46,2.7,"M","Sedan","Metro","20%",0,0,0
"240",240,0.670191705459729,33,5.9,"F","Luxury","Suburban","60%",0,0,0
"241",241,0.859237348544411,33,12.7,"F","Commercial","Suburban","60%",0,0,0
"242",242,0.645778669160791,36,12.3,"F","SUV","Rural","40%",0,0,0
"243",243,0.760995281510986,58,2.4,"F","Luxury","Suburban","60%",0,0,0
"244",244,0.633425511769019,29,0.4,"F","SUV","Suburban","40%",0,0,0
"245",245,0.812501580570824,40,16.7,"F","Luxury","Metro","20%",0,0,0
"246",246,0.588899181922898,63,0.6,"F","SUV","Metro","60%",0,0,0
"247",247,0.817364232614636,41,6.6,"F","Sedan","Metro","0%",0,0,0
"248",248,0.598653939203359,27,4.9,"M","Commercial","Rural","20%",0,0,0
"249",249,0.555218953173608,35,1.5,"M","Sedan","Metro","60%",0,0,0
"250",250,0.544177207979374,47,1.7,"M","SUV","Metro","40%",0,0,0
"251",251,0.920221347594634,38,4.6,"F","Commercial","Metro","0%",0,0,0
"252",252,0.958840278792195,36,2.1,"M","Sedan","Metro","60%",0,0,0
"253",253,0.857021918287501,38,1.8,"F","Commercial","Suburban","40%",0,0,0
"254",254,0.907337015494704,43,8.6,"M","Luxury","Metro","60%",0,0,0
"255",255,0.580853468738496,60,5.4,"M","SUV","Suburban","40%",0,0,0
"256",256,0.928241415997036,41,5,"M","Sedan","Metro","20%",0,0,0
"257",257,0.941964093246497,54,1.5,"F","SUV","Rural","60%",0,0,0
"258",258,0.628163877059706,49,2.8,"M","Sedan","Suburban","40%",0,0,0
"259",259,0.529790438595228,41,2.5,"F","Sedan","Rural","60%",0,0,0
"260",260,0.646972771035507,25,10.6,"M","SUV","Suburban","60%",0,0,0
"261",261,0.967569547356106,36,6.2,"F","Commercial","Suburban","20%",0,0,0
"262",262,0.600621741265059,37,0.6,"M","Commercial","Metro","40%",0,0,0
"263",263,0.598829127848148,43,1.7,"M","Sedan","Suburban","60%",0,0,0
"264",264,0.824733715853654,56,2.7,"M","Sedan","Metro","60%",0,0,0
"265",265,0.681150217191316,67,0.9,"F","SUV","Suburban","40%",0,0,0
"266",266,0.971818575751968,59,1.9,"M","Luxury","Metro","40%",0,0,0
"267",267,0.655376869486645,41,1.7,"F","SUV","Rural","0%",0,0,0
"268",268,0.67139521043282,23,1.1,"F","SUV","Metro","20%",0,0,0
"269",269,0.998502346337773,38,1.4,"F","SUV","Suburban","60%",0,0,0
"270",270,0.515780163463205,43,0.4,"F","Luxury","Metro","20%",0,0,0
"271",271,0.604840623680502,51,8,"F","Sedan","Suburban","40%",0,0,0
"272",272,0.862389531102963,53,16.7,"F","SUV","Rural","0%",0,0,0
"273",273,0.564818592509255,50,0.3,"M","Commercial","Suburban","20%",0,0,0
"274",274,0.706019080011174,27,5,"M","SUV","Metro","40%",0,0,0
"275",275,0.762150835245848,51,0.4,"M","Sedan","Suburban","40%",0,0,0
"276",276,0.919925703434274,37,11.2,"M","SUV","Suburban","60%",0,0,0
"277",277,0.672375623253174,44,6.7,"F","SUV","Rural","60%",0,0,0
"278",278,0.643970153294504,43,7.2,"F","Sedan","Rural","60%",0,0,0
"279",279,0.591474358807318,47,4.6,"M","Sedan","Metro","20%",0,0,0
"280",280,0.524203522363678,42,1.3,"M","SUV","Metro","0%",0,0,0
"281",281,0.616434591938742,24,4.2,"F","SUV","Suburban","60%",0,0,0
"282",282,0.523178830975667,50,12.3,"M","Luxury","Metro","40%",0,0,0
"283",283,0.597632207907736,46,7,"M","Sedan","Suburban","40%",0,0,0
"284",284,0.664896878879517,39,1.5,"F","Sedan","Rural","40%",0,0,0
"285",285,0.616559699643403,43,3,"M","Sedan","Metro","20%",0,0,0
"286",286,0.636947506805882,43,3.3,"M","Sedan","Metro","60%",0,0,0
"287",287,0.518786446657032,44,6.2,"M","Sedan","Suburban","40%",0,0,0
"288",288,0.678624108433723,60,3.9,"F","SUV","Rural","60%",0,0,0
"289",289,0.954690762329847,40,0.9,"F","SUV","Suburban","20%",0,0,0
"290",290,0.781162307714112,44,6.4,"M","SUV","Suburban","40%",0,0,0
"291",291,0.865356111899018,55,8.8,"M","Sedan","Suburban","40%",0,0,0
"292",292,0.632770091760904,54,4.8,"F","Luxury","Metro","20%",0,0,0
"293",293,0.762310424936004,55,4.2,"M","Sedan","Metro","40%",0,0,0
"294",294,0.679551791399717,36,10.3,"M","Luxury","Metro","40%",0,0,0
"295",295,0.60737307020463,64,4.8,"F","SUV","Rural","40%",0,0,0
"296",296,0.678435885929503,43,10.1,"F","Sedan","Metro","40%",0,0,0
"297",297,0.521033018128946,63,0.1,"M","Sedan","Metro","40%",0,0,0
"298",298,0.689413432846777,27,1.5,"M","Sedan","Metro","40%",0,0,0
"299",299,0.852057311800309,42,2.6,"F","SUV","Rural","60%",0,0,0
"300",300,0.862022851360962,56,9,"M","Sedan","Suburban","40%",0,0,0
"301",301,0.539967727381736,34,2.1,"F","Sedan","Suburban","60%",0,0,0
"302",302,0.773945579072461,34,2.4,"F","Luxury","Metro","40%",0,0,0
"303",303,0.832827265490778,32,4.5,"M","SUV","Suburban","40%",0,0,0
"304",304,0.940785711631179,30,0.5,"F","Sedan","Suburban","20%",0,0,0
"305",305,0.963547679129988,37,6.9,"M","Luxury","Suburban","40%",0,0,0
"306",306,0.773087462061085,46,0.6,"F","Sedan","Metro","20%",0,0,0
"307",307,0.863883300800808,20,0.7,"F","Sedan","Metro","60%",0,0,0
"308",308,0.978729477268644,44,5.9,"M","Sedan","Metro","0%",0,0,0
"309",309,0.913256058236584,56,19.5,"F","SUV","Metro","60%",0,0,0
"310",310,0.826091293245554,64,1.4,"F","Commercial","Metro","40%",0,0,0
"311",311,0.843095536110923,56,5.3,"F","Sedan","Metro","40%",0,0,0
"312",312,0.634736732114106,50,1.1,"M","Sedan","Rural","60%",0,0,0
"313",313,0.66057734109927,23,7.5,"F","SUV","Metro","60%",0,0,0
"314",314,0.872287249541841,35,3,"M","Commercial","Metro","20%",0,0,0
"315",315,0.709078467334621,38,0.7,"F","SUV","Rural","40%",0,0,0
"316",316,0.50171256356407,50,2.1,"F","Commercial","Rural","20%",0,0,0
"317",317,0.97664124390576,41,3.1,"M","Sedan","Metro","40%",0,0,0
"318",318,0.735218137037009,28,8.6,"M","Luxury","Metro","20%",0,0,0
"319",319,0.737862216308713,61,7.7,"F","Luxury","Suburban","40%",1,22064.6543309906,22064.6543309906
"320",320,0.86928134970367,52,1.3,"M","Sedan","Suburban","40%",0,0,0
"321",321,0.799326748936437,45,0.8,"F","Commercial","Rural","60%",0,0,0
"322",322,0.929895470151678,55,14,"F","Sedan","Suburban","40%",0,0,0
"323",323,0.526869284221902,27,3.6,"F","Luxury","Metro","60%",0,0,0
"324",324,0.570096742594615,49,4.7,"M","Sedan","Metro","0%",0,0,0
"325",325,0.576240381458774,36,2.6,"M","Commercial","Metro","40%",0,0,0
"326",326,0.855132492142729,50,4.8,"M","SUV","Suburban","40%",0,0,0
"327",327,0.843835083651356,41,2.7,"F","Commercial","Suburban","0%",0,0,0
"328",328,0.845473728724755,49,6.7,"M","Sedan","Suburban","40%",0,0,0
"329",329,0.54128936980851,57,8.3,"M","SUV","Metro","60%",0,0,0
"330",330,0.565064789843746,42,11.8,"M","Sedan","Metro","20%",0,0,0
"331",331,0.940072102355771,53,1.9,"M","Commercial","Metro","60%",0,0,0
"332",332,0.979056458454579,29,1.4,"F","Commercial","Rural","60%",1,4326.36443917089,4326.36443917089
"333",333,0.50904935086146,34,0.7,"F","Sedan","Metro","0%",0,0,0
"334",334,0.61848058598116,59,0.4,"F","Luxury","Metro","40%",0,0,0
"335",335,0.804562279605307,46,1.8,"M","SUV","Metro","60%",0,0,0
"336",336,0.753470301162452,19,0.9,"F","Sedan","Metro","40%",0,0,0
"337",337,0.555716841714457,27,0.8,"F","Luxury","Metro","60%",1,10560.5388814642,10560.5388814642
"338",338,0.926483066519722,40,1.8,"M","SUV","Metro","40%",0,0,0
"339",339,0.949688857304864,52,8.5,"M","Sedan","Rural","60%",0,0,0
"340",340,0.744549044989981,41,0.3,"F","Sedan","Metro","0%",0,0,0
"341",341,0.79896692559123,49,0.8,"M","Sedan","Metro","20%",0,0,0
"342",342,0.677766977343708,53,14.8,"F","Sedan","Suburban","60%",0,0,0
"343",343,0.685617999173701,60,7.7,"F","SUV","Metro","0%",0,0,0
"344",344,0.95693481026683,43,8.3,"F","Sedan","Metro","40%",0,0,0
"345",345,0.771128567983396,41,1.3,"M","Sedan","Suburban","0%",0,0,0
